text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
some added gas/wind.,"joint pain, muscle ache, fatigue.",gas.,fatique,fatigue,fatigue,fatigue,gas,flatulence
"i've been taking lipitor for a few years (had been on baycol),.","on the third day taking just 5mg, stomach cramps and loose stools set in.",i took lipitor for about a year.,limits my ability to walk,walking disability,gas,walking disability,went down muscles,muscle weakness
"bouts of extreme forgetfulness, extreme muscle pain, insomnia, tremors, cluster headaches,kidney pain, urinary problems.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.","muscle spasms and pain, joint pain, headaches, memory loss, skin rash, depression, insomnia.",unable to walk,unable to walk,can't walk,unable to walk,insomnia,insomnia
"after taking it for 3-4 months i had terrible pains in knee, ankle, big toe.",excruciating pain in right buttock.,"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles.",pain,pain,pain,pain,tightening of neck muscles,hypertonia
wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!,holy shit balls pristiq withdrawals are very strong!,tysabri infusion #54 yesterday. made me feel tired and out of it for a while. maybe it's the heat - 34c (94f)!!! maybe a very hot summer?,withdrawal,withdrawal symptom,withdrawals,withdrawal symptom,tired,tiredness
this levofloxacin got me feeling sick to my stomach!! ugh!!,i?m sort of nauseous. don?t know if it?s a side effect of the viibryd or i need to eat more or what. unpleasant.,adderall makes me vomit and vyvanse gives me migraines.. the struggle,sick to my stomach,nauseous,nauseous,nauseous,migraines,migraine
"extremly bad pains in hands,arms,shoulders.",i had muscle cramps and muscle pain.,pain in shoulder and arms and hands.,extremly bad pains in hands,pain,pain,pain,pain in my arms,pain in upper extremities
@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,"@cutefont i essentially felt nothing on them. great for anxiety, bad for living. coming off klonopin and paxil was hell though.","@zymymar stopped zoloft cold turkey after i became suicidal, stopped effexor because i was numb.",comedown is hell,drug withdrawal syndrome,coming off klonopin and paxil was hell,drug withdrawal syndrome,numb,lack of feeling emotions
"headache, gas, bloating, mood swings, ill feeling, paranoid, anxious.",went to hospital for my tmj pain because it was getting out of control.,"anxiety, depression, panic attacks, muscular pain, arrhythmia.",ill feeling,malaise,feel sick,malaise,anxiety,anxiety
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.","depression, general malaise, nausea, taste loss, insomnia, hair loss, bronchitis and/or flu 3 times during winter and 1-2 times during summer, abdominal pain, muscle spasmns in legs and left arm, back pain.","stomach cramps, muscle pain, lower back pain, irritability, flu-symptoms, malaise.",back ache,backache,back pain,backache,flu-symptoms,influenza like illness
took 10mg lipitor for 7 years had soreness of muscles for 4 years.,"muscle spasms, joint ache, loss of muscle structure especially in the calf muscles, feel tired and ache.","after taking lipitor for 5 years: pain in the knees and feet, neck and shoulders, abdominal pain and elbow pain.",muscle cramps,muscle cramp,muscle spasms,muscle cramp,elbow pain,pain in elbow
"it helps relieve chronic pain but over time, causes intestinal pain and bleeding.","abdominal cramps, flatulence, gas, bloating.","muscle pain (severe neck, shoulder, back pain. leg pain) has become increasingly pronounced in the past few months (have taken lipitor for 3+ years).",intestinal/stomach pain,abdominal colic,abdominal cramps,abdominal colic,muscle pain,myalgia
"persistent triedness,loss of concentration,uncharacteristical moodiness,short term memory loss,light headedness(in a daze type of thing)unwarranted depression and the occasional thoughts of suicide,tightness and annoying stimuly type of feeling in the neck near the base of the skull,husky vocal chords.","i feel a bit drowsy & have a little blurred vision, so far no gastric problems.","depression, anxiety, spaced-out feeling, lack of concentration, insomnia.",foggy vision,blurred vision,little blurred vision,blurred vision,insomnia,insomnia
"i have been taking simvostatin for about 5 years,,since march 2010 i have been experiencing pain in my left leg and foot with exteem pain in my ankle and at times i have had dificultly in walking to the point were on some days i could not walk at all because the pain was so bad also had pain in my left arm as if i had strained it lifting but i havn't been lifting, this is not like me because i am normaly very fit and i love walking.","sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.","after about 4 months of taking lipitor, one day while walking, my left leg, below the knee, experienced intense pain and stiffness.",dificultly in walking,walking difficulty,could not walk,walking difficulty,"left leg, below the knee, experienced stiffness",limbs stiffness
always very fatigued and sleepy immediately after taking the drug almost like a sleeping pill causes.,"after taking just one dose, had hunger feeling and stomach cramping, in the eve and through the night constant muscle cramps in my calf muscles, couldn't sleep, had to keep jumping out of bed because of the cramps.",10mg; after 1.5 years waking up fatigued even after long sleep; unexplained pain in the right foot; and feel lethargic during the day.,sporadic lower abdominal cramping,learning disorder,stomach cramping,learning disorder,bone/joint pain,arthralgia
"@friardanny i appreciate it. i gained over 30lbs with paxil so i'm trying something different, tired of the appetite side effects.",@fergaroo thanks :) i so wanted venlafaxine to work cos at least it didn?t increase my appetite like citalopram did.,"i have been on lipitor for over a year and it did lower my cholesterol from 299 to 220, but i, too, have been having side effects, i guess now, that might be attributed to lipitor.",appetite,increased appetite,increase my appetite,increased appetite,arms are always falling asleep,numbness of limbs
"headaches, pain in throat , tingling in side of face, severe bouts of anxiety and depression-loss of reason to live!",so glad to have just finished a course of cipro! fingers crossed i can stay off of nausea inducing meds for the next little while...,"malaise, exhaustion, severe muscle pain, severe depression and anxiety.",nausea,nausea,nausea,nausea,malaise,malaise
does anyone know if the #weight gain is less in #olanzapine combined with #prozac(#symbyax) than in olanzapine alone?,@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,i wonder if olanzapine causes restless legs &lt;_&lt;,weight gain,weight gain,weight,weight gain,restless legs,restless legs
@crohnsdiaries hi i was on humira for 4 months worked great until i got sick last week. don't know if i will go back on it or not.,whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,"still have pain in feet and legs, since dr made me continue this lipitor (crippling medicine from hell) & when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working.",sick,feeling sick,sick,feeling sick,foot/ankle pain,foot pain
started taking lipitor 3 months ago.,where to begin?,took liptor for 3 months 2 years ago.,fatigue,fatigue,fatigue,fatigue,severe thigh muscle pain (both legs involved),pain
"loss of muscel strength,vertigo caused by cramping neck muscels,loss of sexual drive,hair,short term memory,zombie like doped up state,halucinations during day,unable to walk for 2 weeks,get out of bed et al reduced mental capabiities,depression excessive sleep requirements and more that i can not remember.",@redbuttongirl combining them with the quetiapine makes me hallucinate :/,"extreme disabling vertigo,loss of support in all muscels in particular calf and leg,excruciatig pain if try to use muscels confined to bed for 2 weeks unable to leave,loss of sex drive,hair,memory loss,extreme fatigue no mater how much i slept,partial tempoary loss of sight one eye,hardest on legs,calfs,and to lesser extent sholders.",halucinations during day,hallucination,hallucinate ,hallucination,partial tempoary loss of sight one eye,"low vision, one eye"
"extreme disabling vertigo,loss of support in all muscels in particular calf and leg,excruciatig pain if try to use muscels confined to bed for 2 weeks unable to leave,loss of sex drive,hair,memory loss,extreme fatigue no mater how much i slept,partial tempoary loss of sight one eye,hardest on legs,calfs,and to lesser extent sholders.","low vision, one eye","vertigo caused by cramping neck muscels,all the leg symptons noted on thi sight,arm and total muscel weakness, could not walk for three weeks,depression,excessive sleep reqmt,hair loss,memory (sht term)loss,loss of sex drv.",partial tempoary loss of sight one eye,"low vision, one eye",partial tempoary loss of sight one eye,"low vision, one eye",memory (sht term)loss,short-term memory impairment
"muscle weakness in arms and legs, blurry eyesight, hair loss, but worst of all, burning feet and painful heels.","severe achilles tendonitis in both legs, heel pain, burning sensations in calves-maybe lipitor is why?","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",painful heels,pain in heel,heel pain,pain in heel,can't walk,unable to walk
"loss of muscel strength,vertigo caused by cramping neck muscels,loss of sexual drive,hair,short term memory,zombie like doped up state,halucinations during day,unable to walk for 2 weeks,get out of bed et al reduced mental capabiities,depression excessive sleep requirements and more that i can not remember.","@doctormcpa  had my doctor attempted to treat with bactrim prior to cipro, i wouldn't be crippled today.","extreme disabling vertigo,loss of support in all muscels in particular calf and leg,excruciatig pain if try to use muscels confined to bed for 2 weeks unable to leave,loss of sex drive,hair,memory loss,extreme fatigue no mater how much i slept,partial tempoary loss of sight one eye,hardest on legs,calfs,and to lesser extent sholders.",unable to walk,unable to walk,crippled,unable to walk,partial tempoary loss of sight one eye,"low vision, one eye"
"jointaches,pains in legs,musclesoreness.","insommnia, loss of dreaming, inability to visualize; muscle pain, weakness, atrophy; tendinitis, tendinopathy, tendon contracture; miniscus damage; working memory and short-term memory loss, language and learning ability loss including spoken and written aphasia and inability to read; gall bladder disease, pancreatitis, acid reflux; inability to walk.",extreme muscle problems and joint pain.,musclesoreness,myalgia,muscle pain,myalgia,extreme muscle problems,myopathy
slowly worsening muscle weakness and fatigue in arms(where hardest daily work occurs).,a friend om mine took lipitor (all statins have similar side effects).,"constant aching/pain and weakness in arms, wrists, back of hands and shoulders.",muscle weakness,muscle weakness,lost muscular strength,muscle weakness,aggitation,agitated
"horrible muscle pains, horrible back spasms,spasms in leg muscles, nausea, vomiting, pain so bad that i could hardly walk or sit.","i have been taking simvostatin for about 5 years,,since march 2010 i have been experiencing pain in my left leg and foot with exteem pain in my ankle and at times i have had dificultly in walking to the point were on some days i could not walk at all because the pain was so bad also had pain in my left arm as if i had strained it lifting but i havn't been lifting, this is not like me because i am normaly very fit and i love walking.","i developed severe abdominal pains, severe welts all over my legs from feet up to knees, swelling of throat, rapid heart beat and headaches.",pain,pain,exteem pain in my ankle,pain,abdominal pains,abdominal pain
"after 1 year on lipitor, i experienced severe pain in both hips & legs, would wake up with so much pain at night that i would get out of bed for relief.","within 15 minutes started to have stomach cramping, almost like period cramps.",after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,so much pain,pain,pain,pain,stomach pain,stomach ache
i took lipitor for 6 weeks and noticed extreme dehydration and extremely dry eyes.,"muscle pain,esp calve muscles, knee pain, neck pain, dizziness? vagueness, dry eyes.","after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",dry eyes,dry eyes,dry eyes,dry eyes,loss of apetite,appetite lost
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.","i've been taking lipitor for a few years (had been on baycol),.","headache, chestpain, arrythmia, diarrhea, malaisse, forgetfulness, confusion, back pain and after 1 month a worrisome case of phlebitis(every superficial vein in my one leg is bulging) my veins hurt, severe leg cramps, numbness in ankles and toes.",gas,walking disability,limits my ability to walk,walking disability,headache,headache
"migrane headaches, very very blurry vision, at times felt like i'm going blind, severe muscle pain and dizziness.","i feel a bit drowsy & have a little blurred vision, so far no gastric problems.","very very blurry vision, at times felt that i'm going blind, severe muscle pain, dizziness, and migrane headaches.",very very blurry vision,blurred vision,little blurred vision,blurred vision,severe muscle pain,pain
what! nightmare made me jump awake! not nice at all. thought #quetiapine was supposed to keep me asleep through the night #psychosis #fail,i hate nightmares! #scary #gayboyproblems #paxil,"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide.",nightmare,nightmares,nightmares,nightmares,depression,depression
08.26 day 14 rivaroxaban diary. just been to cut some wild roses down so workmen can easily get to part of my garage. intense back pain.,"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn","almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",back pain,back pain,back,back pain,heels,pain in heel
"i am experiencing severe hip joint pain, thigh pain, severe thigh fatigue upon minimal exertion which is drastically impairing the ability to walk anything beyond a relatively short distance.","joint pain, muscle ache, fatigue.","i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just.",fatigue,fatigue,fatigue,fatigue,pain,pain
i'm having the worst withdrawals from my paroxetine. is this real life?,@anwen @ellwynnnnn venlafaxine withdrawal is worse than most by miles x,whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,withdrawals,withdrawal symptom,withdrawal,withdrawal symptom,sick,feeling sick
"severe back pain, flank pain, hematuria, kidney failure.",slight stomach upset became worse and resulted in a perforated ulcer which nearly killed me!,"extreme back pain, nerve damage, breathing problems to the point of hospitalization stiffness all over body, muscle damage, hugh black and blue marks 6 in., hair loss, dizzyness, vision problems, close to blackouts, sinus problems,temperature, heart palputations, abdominal problems, bleeding, gas.",kidney failure,renal failure,renal failure,renal failure,heart palputations,palpitations
"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.","never had any problems walking, after liptor had severe muscle spasms in my legs, thigh area.","took 1 pill with dinner, woke during the night with stomach pain.",cramping,muscle cramp,severe muscle spasms in my legs,muscle cramp,bled heavily,bleeding
"heavy legs, muscle aches, confusion, not able to remember things like whether i had done something or where i had placed something, stomach upset, indigestion, insomnia, sweating, shaking, shortness of breath, twitching, depression worse, fibromyalgia much worse.",food craving,"headaches,body aches,joint stiffness,bloating,excessive gas,cramping,irritability.",crave sweets,food craving,crave sweets,food craving,headaches,headache
"congestion, cough, elbows burning, right heel pain, loss of concentration.",respiratory tract congestion,"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",congestion with clear phlem,respiratory tract congestion,congestion with clear phlem,respiratory tract congestion,can't walk,unable to walk
"stiff neck, sore left testicle ,arm muscles melting,legs feel like they don't belong to me.",derealisation,"i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just.",legs feel like they don't belong to me,derealisation,legs feel like they don't belong to me,derealisation,pain,pain
have taken the trazodone dose back down. simply cannot put up with feeling tired all day!,"the difference between 'just tired' and 'tired &amp; in a fog' is amazing.  so happy to be done taking levaquin, that stuff is way too strong","after taking just one dose, had hunger feeling and stomach cramping, in the eve and through the night constant muscle cramps in my calf muscles, couldn't sleep, had to keep jumping out of bed because of the cramps.",tired,tiredness,tired,tiredness,stomach cramping,learning disorder
"rivaroxaban diary ctd , neck and should ache, lower back pain and knee ache.",ache,"jaw,neck, low back and hip pains.",should ache,ache,should ache,ache,low back pains,low back pain
"severe edema with swelling of limbs, vision problems, weakness, muscle pain, rhabdomyolysis/muscle loss, rapid pulse, cough, poor coordination while walking, dizziness, difficulty sleeping, increased sensitivity to other drugs, sweating, nausea, frequent headaches, numbness/tingling?aching/ heavy feeling in limps, difficulty walking due to swelling in legs and problems with coordination, fatigue, increased.","vertigo, room spinning , dizziness, nausea, vision problems - seeing two or three of everything.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",nausea,nausea,nausea,nausea,swelling hands,hand swelling
"slurring in speech, lower back pain, bloated, constipated and severe hip pain on both hips.",joint pain in the knees and hips.,"jaw,neck, low back and hip pains.",hip pain,pain in hip,hips ache,pain in hip,numbness,numbness
"muscle pain, leg cramps, fatigue, irritable, pain in feet, neuropathy.","severe back pain muscles pain loss of energy, depression.","headaches,body aches,joint stiffness,bloating,excessive gas,cramping,irritability.",muscle pain,myalgia,muscles pain,myalgia,headaches,headache
constant leg pain.,"severe lethargy, general body pain, severe pain of the hip joint, limping now.",severe leg pains.,constant leg pain,pain,pain,pain,severe leg pains,pain of lower extremities
prescribed it for high cholesterol (just under 6),"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",greatly reduced cholesterol levels.,dry mouth,dry mouth,dry mouth,dry mouth,muscle pain in thighs,myalgia
oh my god. it's 5:19am and i am just now realizing that i accidentally took a vyvanse at 11pm... that explains why i can't sleep.,it's 6 am and still no sleep fuck you vyvanse,results of accidentally taking 100 mg of vyvanse last night: i took it at 11:00am and was wide awake until 3:30 this morning..,can't sleep,sleep loss,no sleep,sleep loss,wide awake,difficulty sleeping
anxiety and the feeling i was bleeding inside.,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more meds- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.,"numbness in feet, leg, hip, neck cramps, eyes running, itchy and watery all the time like i was crying.",anxiety,anxiety,anzity,anxiety,depression,depression
"swollen and stiff knees and elbows, mental distress, others that i am now only becoming aware of after reading many of these others testimonials.","muscle pain, stiffness/pain in hands that kept me awake at night and limited my ability to perform routine tasks such as type, trouble with walking/balance neck, and shoulder pain.",i have had several boughts of severe muscle cramps that lead to dehydration.,stiff elbows,stiff joint,stiffness in hands,stiff joint,fatigue,fatigue
"extreme weakness, diarea, bluss and ititching of the face, so tired would not get out of bed to urinate, sleeping 18hrs day, blurred vision, dizzy spells,.","blurred vision, dizziness, brain.","terrible short term memory problems, lack of motivation, weak and wobbly unbalanced feeling (walked like a 90 year old), not sure footed as i walked, overall weak feeling, difficulty driving due to muscle function irregularities, tightness in throat with occasional choking problem, lightheaded foggy brain (like being in a stupor), loss of endurance, heavy legs and arms, eye muscle spasms, dizziness (vertigo), lousy sleeping at night, terrible concentration, bad dreams nightly, foot and leg cramps especially at night in bed, always exhausted, hip joint pain, muscular aches, swallowing problems, hard to get out of bed in the morning, constant muscle tension in legs (inflexibility), sadness, mood swings, loss of muscle mass in chest and arms.",dizzy spells,dizziness,dizziness,dizziness,tightness in throat with occasional choking problem,throat tightness
muscle pain in left arm and upper back.,"muscle tightness, lower back weakness, body stiffed during sleep.",severe muscle and joint pain in left leg.,muscle pain in left arm,myalgia,muscle pain,myalgia,pain,pain
i started taking liptor as cholesterol was 494.,i am a physician.,i started taking lipitor after my cholesterol climbed to 310.,fatigued,fatigue,fatigue,fatigue,painful to walk,pain aggravated
"congestion, cough, elbows burning, right heel pain, loss of concentration.","severe edema with swelling of limbs, vision problems, weakness, muscle pain, rhabdomyolysis/muscle loss, rapid pulse, cough, poor coordination while walking, dizziness, difficulty sleeping, increased sensitivity to other drugs, sweating, nausea, frequent headaches, numbness/tingling?aching/ heavy feeling in limps, difficulty walking due to swelling in legs and problems with coordination, fatigue, increased.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",cough,cough,cough,cough,swelling hands,hand swelling
was on lipitor 10 mg per day for about 5 years and experienced chronic and acute back pain which gradually improved but seemed strange to me because i hadn't really done anything to strain my back muscles.,prescribed it for high cholesterol (just under 6),"other than mild flatulance and things of this nature, i did not connect lipitor to the terrible low back pain i have had for about 5 months.",plantar fasciitis of my left foot,plantar fasciitis,sore feet (faciitis),plantar fasciitis,back pain,backache
bedtime. hopefully  the headache and nausea from the levaquin will be gone leaving me with only the more common side effects of antibiotics.,severe back and neck pains that led to severe headaches.,"no med orders til effexor is fully exited. still having brain shivers, but mostly when i don't eat. #effexor #withdrawal #depression",headache,headache,severe headaches,headache,withdrawal,withdrawal syndrome
"severe chronic fatigue, muscle weakness, problems with memory, concentration.","leg calf cramps, eyes feeling of pressure or spaced out feeling.","muscle fatigue, memory loss, cramping, cold extremities, shortness of breath, general fatigue, joint and muscle pain, inability to sleep and induced depression.",problems with memory,memory impairment,couldnt remember anything,memory impairment,muscle pain,myalgia
horrible stuff.,"experiencing fatigue, lightheaded and weakness.",debilitating.,faintness,syncope,fainting spells,syncope,burning,burning sensation
"swollen and stiff knees and elbows, mental distress, others that i am now only becoming aware of after reading many of these others testimonials.",developed severn calf cramps after a couple of weeks on lipitor where i could bearly walk and after talking to a friend he told me he was prescribed lipitor and had developed leg cramps and his doctor switched drugs.,i have had several boughts of severe muscle cramps that lead to dehydration.,swollen knees,swelling of knees,right knee swelled,swelling of knees,fatigue,fatigue
very blurred vision and lower back pain.,"migrane headaches, very very blurry vision, at times felt like i'm going blind, severe muscle pain and dizziness.","blured vision, chest pain, sore muscles.",very blurred vision,blurred vision,very very blurry vision,blurred vision,"changed my personality, from happy to a grouch",personality change
i was on lipitor for 3 years with no problems.,cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,i have been taking lipitor for 3 years.,nausia,nausea,nausea,nausea,inability to sleep well,difficulty sleeping
severe overall body pain in every joint and muscle from my neck down to my big toes.,brain fog and decreased cognitive skills.,pain in all my muscles and joints and bottom of feet.,foggy brain,mental dullness,brain fog,mental dullness,pain in joints,arthralgia
this drug is not fit for human consumption in my opinion!,"at the beginning i did not had any side effects, until a few months after start taking lipitor i experienced pain in the lower legs, sometimes i could not even walk in the mornings my muscles were very stiff.","my medication is making me stupid, brain meds are not ok , fuck u paxil",excruciating pain,pain,pain,pain,making me stupid,memory impairment
i was on 10 mgs. and then cut it in half for over two years.,"muscle tightness, lower back weakness, body stiffed during sleep.",i was on 5mg - cut a 10mg pill in half.,muscle aches,myalgia,muscle pain,myalgia,foot cramps,foot cramps
"type ii diabetic, formerly on oral medication but converted to insulin injections twice daily after bypass surgery.",increased from 20 - 40 mg.,diagnosed with parkinsons after 10 months on drug.,general weakness in hands,flatulence,gassy,flatulence,tremors,tremor
"when i had my infected k stone, hospital put me on cipro - a synthetic antibiotic. i ""smelled"" a pungent solvent odor, i smell it now. why?",strange smell sensation,@kirkby007 #hcsm i start #chemo on tues b/c of #humira so i know.  it helped but it then destroyed my lungs.,smell,strange smell sensation,smell,strange smell sensation,destroyed my lungs,lung disorder
second time trying this.,severe lower back pain after increasing lipitor form 10-20 mg.,took for 2 weeks.,back pain,backache,back pain,backache,tightness in my throat,throat tightness
"aches and pains, breathing difficulties, panic attacks, stength and stamina destroyed, palpatations, strong tingling in one hand, some tinititis and occassional ear aches.","within 5 minutes of taking drug, developed severe colon and uterine cramping.","muscle/joint pains, gastric upsets, insomnia, memory loss, anxiety, frozen shoulder .",palpatations,palpitations,heart palpitations,palpitations,muscle pains,myalgia
"it either caused or gave me peripheral neuropathy in my hands, arms, feet and legs.",within 3 days i experienced extreme muscle pain and weakness.,"within 24 hrs i was having direar, severe muscle aces, headace, collapades in the floor on the third day, called the dr, went back he did a liver test and took me off the medicane, but was still having symptoms, in 5 days i had blisters on my finger and palms of my hands, and on the soles of my feet, the blisters lasted 1 and a half years, my hands and feet would bleed, i saw another dr and he did tell me it was because of the lipitor, till this day i am still having problems, i still have muscle aces, memory loss, i don,t think my kidney,s are as good, i fell like my body is being attacked in different places in seems to come and go about every three weeks, i will have severe headaces, this has been 3 years ago, i think it did perment damage to me, some times i wonder when i am going to die, i forget things all the time, and even forgot how to get to the dr,s office once, i even forget my grandaughter name from time, im only 52 years of age, to young to have all this problems, iam so.",damaged my liver,hepatic disease,trouble with my liver,hepatic disease,forget things all the time,forgetfulness
#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.,shaking,"this drug makes me so agitated--insomnia, hideously increased muscle tension, short tempered, impatient.",shaking,shaking,shaking,shaking,insomnia,insomnia
cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.,effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.,i?m sort of nauseous. don?t know if it?s a side effect of the viibryd or i need to eat more or what. unpleasant.,mouth is painfully dry,dry mouth,dry mouth,dry mouth,nauseous,nauseous
on today's ride i burnt 1119 calories. take that olanzapine you hunger inducing bastard!!!,hunger,@ineedyouhere66 ugh the olanzapine makes me so tired :(,hunger inducing,hunger,hunger inducing,hunger,tired,tiredness
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide.","depression, muscle pain in shoulders, hips and feet.","terrible short term memory problems, lack of motivation, weak and wobbly unbalanced feeling (walked like a 90 year old), not sure footed as i walked, overall weak feeling, difficulty driving due to muscle function irregularities, tightness in throat with occasional choking problem, lightheaded foggy brain (like being in a stupor), loss of endurance, heavy legs and arms, eye muscle spasms, dizziness (vertigo), lousy sleeping at night, terrible concentration, bad dreams nightly, foot and leg cramps especially at night in bed, always exhausted, hip joint pain, muscular aches, swallowing problems, hard to get out of bed in the morning, constant muscle tension in legs (inflexibility), sadness, mood swings, loss of muscle mass in chest and arms.",depression,depression,depression,depression,tightness in throat with occasional choking problem,throat tightness
i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,"one hour after taking arthrotec, i experienced the sudden onset of severe mentrual cramps.","a few years after the dosage was raised to 40 mg, i began to have a sharp pain in the ball of my right foot, diagnosed as a neuroma.",major menstrual cramps,menstrual cramp,severe mentrual cramps,menstrual cramp,pain,pain
w/ prescribed dosage (75 mg bid) crankiness and irritability.,"75 yo mother-in-law has memory loss, hair loss, muscle spasms in left arm and legs, odd blood sugar pattern, sciatic pain which is not sciatica, periodic back and hip pain, gradual loss of feeling in toes, dizziness, vision problems, extreme tiredness, lack of appetite, and no enthusaism for life.","headaches,body aches,joint stiffness,bloating,excessive gas,cramping,irritability.",visual disturbances,visual disturbance,vision problems,visual disturbance,headaches,headache
leg cramps at 40mg.,"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy.",leg cramps and pain.,leg cramps,cramps of lower extremities,cramps in thighs,cramps of lower extremities,pain,pain
"severe, gut-renching abdominal pain, jaundins, diahrea, sweats & hot flashes, vaginal bleeding, and now constipation.","no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.","severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",gut-renching abdominal pain,pain,sore,pain,dry mouth,dry mouth
"muscle weakness, tendon weakness and ruptures, memory loss.",achilles tendon rupture,"extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes.",tore my right achilles tendon just simply taking off from a sprinters stance,achilles tendon rupture,tore my right achilles tendon just simply taking off from a sprinters stance,achilles tendon rupture,cramping in toes,foot cramps
severe muscle cramping.,on lipitor immediately after heart attack.,severe muscle pain.,muscle weakness,muscle weakness,extreme muscle weakness,muscle weakness,severe muscle pain,pain
"very very blurry vision, at times felt that i'm going blind, severe muscle pain, dizziness, and migrane headaches.",@thebeachynurse ...had to get an x-ray of my arm per protocol...it was negative but it's just now starting to hurt. ugh!!!!  #geodon,"migrane headaches, very very blurry vision, at times felt like i'm going blind, severe muscle pain and dizziness.",severe muscle pain,pain,hurt,pain,very very blurry vision,blurred vision
"first i was having cramps in my fingers, which is now not apparent.","i have headache, muscle ache, diarrhea, indigestion, abdominal pain, back pain, eyesight has changed sinus problems, joint pain, leg cramps.",my fingers swelled up and hurt.,indigestion,indigestion,indigestion,indigestion,hurt to bend my knee,knee pain
unbearable stomach cramps on the fifth day -- vomiting for about 7 hours straight until i went to the emergency room.,"after taking just one dose, had hunger feeling and stomach cramping, in the eve and through the night constant muscle cramps in my calf muscles, couldn't sleep, had to keep jumping out of bed because of the cramps.","i had diarrhea, severe abdominal pain which was constant for 4 hours straight, vomiting, trembling, dizziness, nausea.",stomach cramps,learning disorder,stomach cramping,learning disorder,nausea,nausea
@furyofpatience i was fine w/ effexor. paxil/seroxat/paroxetine was the worst fucking bitch ad  i've ever withdrawn from. pure evil.,withdrawn,"@johncheese i hated effexor. it makes you hungry, dizzy, and lethargic. that culminated in a large weight gain for me.",withdrawn ,withdrawn,withdrawn ,withdrawn,dizzy,dizzy
slight muscle soreness in arms and legs.,the last two years i have had severe pain in my feet and legs with a definite decrease in muscle strength.,mild muscle pain.,pain,pain,severe pain in my feet,pain,mild muscle pain,myalgia
