,meddra,definition
617,chronic back pain, being long-lasting and recurrent or characterized by long suffering the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
618,hand injury, the (prehensile) extremity of the superior limb any physical damage to the body caused by violence or accident or fracture etc.
619,tunnel vision," a passageway through or under something, usually underground (especially one for trains or cars) a vivid mental image"
620,steatosis hepatic,  any of numerous small green nonvascular plants of the class Hepaticopsida growing in wet places and resembling green seaweeds or leafy mosses
621,feeling hot and cold, the experiencing of affective and emotional states used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning  a mild viral infection involving the nose and respiratory passages (but not the lungs)
622,heat intolerance, a form of energy that is transferred by a difference in temperature impatience with annoyances
623,anaphylactic shock, related to the hypersensitivity known as anaphylaxis the feeling of distress and disbelief that you have when something bad happens accidentally
624,delirious, experiencing delirium
625,equilibrium loss, a stable situation in which forces cancel one another something that is lost
626,tendon disorder, a cord or band of inelastic tissue connecting a muscle with its bony attachment a physical condition in which there is a disturbance of normal functioning
627,liver enzyme abnormal, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions not normal; not typical or usual or regular or conforming to a norm
628,lucid dreams, (of language) transparently clear; easily understandable a series of mental images and emotions occurring during sleep
629,sound sensitivity increased, the particular auditory effect produced by a given cause (physiology) responsiveness to external stimuli; the faculty of sensation become bigger or greater in amount
630,restlessness (drug related), the quality of being ceaselessly moving or active  
631,haemorrhoids, pain caused by venous swelling at or inside the anal sphincter
632,heart valve regurgitation, the locus of feelings and intuitions a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it backflow of blood through a defective heart valve
633,contusion of hand(s), an injury that doesn't break the skin but results in some discoloration  
634,memory loss, something that is remembered something that is lost
635,stiffness shoulder, the physical property of being inflexible and hard to bend the part of the body between the neck and the upper arm
636,productive cough, producing or capable of producing (especially abundantly) a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
637,tummy ache, slang for a paunch a dull persistent (usually moderately intense) pain
638,testosterone decreased," a potent androgenic hormone produced chiefly by the testes; responsible for the development of male secondary sex characteristics decrease in size, extent, or range"
639,cramp of limb, a painful and involuntary muscular contraction  one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
640,visual acuity decreased," relating to or using sight sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart) decrease in size, extent, or range"
641,peripheral oedema," (computer science) electronic equipment connected by cable to the CPU of a computer swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
642,dropped beats," let fall to the ground a United States youth subculture of the 1950s; rejected possessions or regular work or traditional dress; for communal living and psychedelic drugs and anarchism; favored modern forms of jazz (e.g., bebop)"
643,amyotrophic lateral sclerosis,  a pass to a receiver upfield from the passer any pathological hardening or thickening of tissue
644,carpal tunnel syndrome," any of the eight small bones of the wrist of primates a passageway through or under something, usually underground (especially one for trains or cars) a complex of concurrent things"
645,partial visual loss, the derivative of a function of two or more variables with respect to a single variable while the other variables are considered to be constant relating to or using sight something that is lost
646,grip strength decreased," the act of grasping the property of being physically or mentally strong decrease in size, extent, or range"
647,feeling drunk, the experiencing of affective and emotional states a chronic drinker
648,rupture tendon, state of being torn or burst open a cord or band of inelastic tissue connecting a muscle with its bony attachment
649,cerebrovascular accident, of or relating to the brain and the blood vessels that supply it an unfortunate mishap; especially one causing damage or injury
650,aphasia, inability to use or understand language (spoken or written) because of a brain lesion
651,aptyalism, 
652,arrhythmia, an abnormal rate of muscle contractions in the heart
653,paraesthesia upper limb, abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage the higher of two berths one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
654,psychotic behavior, a person afflicted with psychosis manner of acting or controlling yourself
655,temperature elevation, the degree of hotness or coldness of a body or environment (corresponding to its molecular activity) the event of something being raised upward
656,rheumatoid arthritis, of or pertaining to arthritis inflammation of a joint or joints
657,feeling cold, the experiencing of affective and emotional states a mild viral infection involving the nose and respiratory passages (but not the lungs)
658,groggy on awakening, stunned or confused and slow to react (as from blows or drunkenness or exhaustion) in operation or operational the act of waking
659,appetite excessive, a feeling of craving something beyond normal limits
660,water retention, binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent the act of retaining something
661,respiratory disorder, pertaining to respiration a physical condition in which there is a disturbance of normal functioning
662,facial spasm, cranial nerve that supplies facial muscles a painful and involuntary muscular contraction
663,neck swelling, the part of an organism (human or animal) that connects the head to the rest of the body an abnormal protuberance or localized enlargement
664,negative thoughts, a reply of denial the content of cognition; the main thing you are thinking about
665,stevens johnson syndrome, United States psychologist and psychophysicist who proposed Stevens' power law to replace Fechner's law (1906-1973) English writer and lexicographer (1709-1784) a complex of concurrent things
666,flat affect, a level tract of land the conscious subjective aspect of feeling or emotion
667,numbness of upper extremities, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction  the higher of two berths an external body part that projects from the body
668,tooth ache, hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense a dull persistent (usually moderately intense) pain
669,skin nodule, a natural protective body covering and site of the sense of touch a small node
670,arachnoiditis adhesive chronic,  a substance that unites or bonds surfaces together being long-lasting and recurrent or characterized by long suffering
671,erection failure, an erect penis an act that fails
672,irritable bowel syndrome, easily irritated or annoyed the part of the alimentary canal between the stomach and the anus a complex of concurrent things
673,shock-like symptom,  (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
674,dislocation, an event that results in a displacement or discontinuity
675,dry hair, a reformer who opposes the use of intoxicating beverages a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
676,joint tenderness, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a tendency to express warm and affectionate feeling
677,shooting pain, the act of firing a projectile a symptom of some physical hurt or disorder
678,chronic diarrhoea, being long-lasting and recurrent or characterized by long suffering frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor
679,eyes heavy feeling of, opinion or judgment an actor who plays villainous roles the experiencing of affective and emotional states 
680,increased skin sensitivity, become bigger or greater in amount a natural protective body covering and site of the sense of touch (physiology) responsiveness to external stimuli; the faculty of sensation
681,speech loss, the act of delivering a formal spoken communication to an audience something that is lost
682,white blood cell increased," a member of the Caucasoid race the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets any small compartment become bigger or greater in amount"
683,depressive state, someone suffering psychological depression the territory occupied by one of the constituent administrative districts of a nation
684,central nervous system disorder, a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication easily agitated instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity a physical condition in which there is a disturbance of normal functioning
685,venous pressure decreased," of or contained in or performing the function of the veins the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) decrease in size, extent, or range"
686,loss of voice, something that is lost  the distinctive quality or pitch or condition of a person's speech
687,white blood cell count abnormal," a member of the Caucasoid race the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets any small compartment the total number counted not normal; not typical or usual or regular or conforming to a norm"
688,oedema extremities," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities an external body part that projects from the body"
689,leg pain, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a symptom of some physical hurt or disorder
690,swelling of wrists, an abnormal protuberance or localized enlargement  a joint between the distal end of the radius and the proximal row of carpal bones
691,multiple sclerosis, the product of a quantity by an integer any pathological hardening or thickening of tissue
692,cystitis, inflammation of the urinary bladder and ureters
693,blood lactic acid increased," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets of or relating to or obtained from milk (especially sour milk or whey) any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt become bigger or greater in amount"
694,blistering of mouth, the formation of vesicles in or beneath the skin  the opening through which food is taken in and vocalizations emerge
695,temporal lobe epilepsy, the semantic role of the noun phrase that designates the time of the state or action denoted by the verb (anatomy) a somewhat rounded subdivision of a bodily organ or part a disorder of the central nervous system characterized by loss of consciousness and convulsions
696,mood disorder nos, a characteristic (habitual or relatively temporary) state of feeling a physical condition in which there is a disturbance of normal functioning a negative
697,bacterial sepsis, relating to or caused by bacteria the presence of pus-forming bacteria or their toxins in the blood or tissues
698,burning sensation in eye, the act of burning something an unelaborated elementary awareness of stimulation a unit of length equal to one twelfth of a foot the organ of sight
699,vision decreased," a vivid mental image decrease in size, extent, or range"
700,joint crepitation, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) the sharp sound of snapping noises
701,dementia, mental deterioration of organic or functional origin
702,jaw disorder, the part of the skull of a vertebrate that frames the mouth and holds the teeth a physical condition in which there is a disturbance of normal functioning
703,nocturnal enuresis, belonging to or active during the night inability to control the flow of urine and involuntary urination
704,gingival disease, of or relating to the gums an impairment of health or a condition of abnormal functioning
705,feeling irritated," the experiencing of affective and emotional states cause annoyance in; disturb, especially by minor irritations"
706,joint injury, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) any physical damage to the body caused by violence or accident or fracture etc.
707,shivering, a sensation of cold that often marks the start of an infection and the development of a fever
708,nerve pain, any bundle of nerve fibers running to various organs and tissues of the body a symptom of some physical hurt or disorder
709,hyperactive, more active than normal
710,chest infection, the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates the pathological state resulting from the invasion of the body by pathogenic microorganisms
711,thoughts of self harm, the content of cognition; the main thing you are thinking about  your consciousness of your own identity any physical damage to the body caused by violence or accident or fracture etc.
712,gait stumbling, the rate of moving (especially walking or running) walk unsteadily
713,intraocular haemorrhage,  the flow of blood from a ruptured blood vessel
714,unsteady gait, subject to change or variation the rate of moving (especially walking or running)
715,derealisation, 
716,menstrual flow excessive, of or relating to menstruation or the menses the motion characteristic of fluids (liquids or gases) beyond normal limits
717,clammy, unpleasantly cool and humid
718,polymyalgia, 
719,hoarseness, a throaty harshness
720,oedema fingers," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities any of the terminal members of the hand (sometimes excepting the thumb)"
721,paraesthesia mucosal, abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage of or relating to mucous membranes
722,epigastric discomfort, of or relating to the anterior walls of the abdomen the state of being tense and feeling pain
723,arch aortogram, a curved shape in the vertical plane that spans an opening 
724,loss of consciousness, something that is lost  an alert cognitive state in which you are aware of yourself and your situation
725,throbbing headache, an instance of rapid strong pulsation (of the heart) something or someone that causes anxiety; a source of unhappiness
726,sleep decreased," a natural and periodic state of rest during which consciousness of the world is suspended decrease in size, extent, or range"
727,retching, eject the contents of the stomach through the mouth
728,heart pounding, the locus of feelings and intuitions repeated heavy blows
729,renal injury, of or relating to the kidneys any physical damage to the body caused by violence or accident or fracture etc.
730,dreams abnormal, a series of mental images and emotions occurring during sleep not normal; not typical or usual or regular or conforming to a norm
731,diverticulitis, inflammation of a diverticulum in the digestive tract (especially the colon); characterized by painful abdominal cramping and fever and constipation
732,mental fatigue, involving the mind or an intellectual process temporary loss of strength and energy resulting from hard physical or mental work
733,low back ache, an air mass of lower pressure; often brings precipitation the posterior part of a human (or animal) body from the neck to the end of the spine a dull persistent (usually moderately intense) pain
734,poor quality sleep, people without possessions or wealth (considered as a group) an essential and distinguishing attribute of something or someone a natural and periodic state of rest during which consciousness of the world is suspended
735,compulsions, an urge to do or say something that might be better left undone or unsaid
736,arc, electrical conduction through a gas in an applied electric field
737,intervertebral disc degeneration, pertaining to the space between two vertebrae sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove the process of declining from a higher to a lower level of effective power or vitality or essential quality
738,alcohol intolerance, a liquor or brew containing alcohol as the active agent impatience with annoyances
739,skin peeling, a natural protective body covering and site of the sense of touch loss of bits of outer skin by peeling or shedding or coming off in scales
740,"low vision, one eye", an air mass of lower pressure; often brings precipitation  the smallest whole number or a numeral representing this number the organ of sight
741,flushed," turn red, as if in embarrassment or shame"
742,alcoholism, habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
743,discomfort, the state of being tense and feeling pain
744,rectal tenesmus, of or involving the rectum painful spasm of the anal sphincter along with an urgent desire to defecate without the significant production of feces; associated with irritable bowel syndrome
745,cluster headache, a grouping of a number of similar things something or someone that causes anxiety; a source of unhappiness
746,asthma, respiratory disorder characterized by wheezing; usually of allergic origin
747,abdominal distension, the muscles of the abdomen the act of expanding by pressure from within
748,generalized aching, draw from specific cases for more general cases a dull persistent (usually moderately intense) pain
749,musculoskeletal chest pain, relating to muscles and skeleton the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates a symptom of some physical hurt or disorder
750,chewing difficulty, biting and grinding food in your mouth so it becomes soft enough to swallow an effort that is inconvenient
751,neurological disorder nos, of or relating to or used in or practicing neurology a physical condition in which there is a disturbance of normal functioning a negative
752,scotoma, an isolated area of diminished vision within the visual field
753,increased thirst, become bigger or greater in amount a physiological need to drink
754,bruise, an injury that doesn't break the skin but results in some discoloration
755,injection site burning, the forceful insertion of a substance under pressure the piece of land on which something is located (or is to be located) the act of burning something
756,swelling of elbows, an abnormal protuberance or localized enlargement  hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
757,low blood pressure," an air mass of lower pressure; often brings precipitation the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)"
758,throat tightness, the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone a state occasioned by scarcity of money and a shortage of credit
759,pains in legs, an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot staying power
760,condition worsened, a state at a particular time grow worse
761,self esteem decreased," your consciousness of your own identity the condition of being honored (esteemed or respected or well regarded) decrease in size, extent, or range"
762,burning tongue, the act of burning something a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
763,skin irritation, a natural protective body covering and site of the sense of touch the psychological state of being irritated or annoyed
764,ear buzzing, the sense organ for hearing and equilibrium make a buzzing sound
765,white dermatographia, a member of the Caucasoid race 
766,throat swelling, the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone an abnormal protuberance or localized enlargement
767,numbness oral, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction an examination conducted by spoken communication
768,drooling," be envious, desirous, eager for, or extremely happy about something"
769,photosensitivity, sensitivity to the action of radiant energy
770,initial insomnia, the first letter of a word (especially a person's name) an inability to sleep; chronic sleeplessness
771,hot flashes, used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning a sudden intense burst of radiant energy
772,furuncle, a painful sore with a hard core filled with pus
773,pre-syncope, 
774,eye pain, the organ of sight a symptom of some physical hurt or disorder
775,renal impairment, of or relating to the kidneys the occurrence of a change for the worse
776,mental distress, involving the mind or an intellectual process psychological suffering
777,lupus erythematosus, any of several forms of ulcerative skin disease 
778,stevens-johnson syndrome,  a complex of concurrent things
779,lactation induced, the period following birth during which milk is secreted cause to arise
780,worn out, be dressed in (baseball) a failure by a batter or runner to reach a base safely in baseball
781,tremor of hands, an involuntary vibration (as if from illness or fear)  (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
782,blood pressure fluctuation," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) a wave motion"
783,dyslexia, impaired ability to learn to read
784,gingival ulceration, of or relating to the gums a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
785,hand pain, the (prehensile) extremity of the superior limb a symptom of some physical hurt or disorder
786,skin warm, a natural protective body covering and site of the sense of touch get warm or warmer
787,pain in joint involving shoulder region, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) connect closely and often incriminatingly the part of the body between the neck and the upper arm the extended spatial location of something
788,gastrointestinal pain, of or relating to the stomach and intestines a symptom of some physical hurt or disorder
789,attitude change, a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways an event that occurs when something passes from one state or phase to another
790,impotence, the quality of lacking strength or power; being weak and feeble
791,blurring of vision, become glassy; lose clear vision  a vivid mental image
792,ataxia, inability to coordinate voluntary muscle movements; unsteady movements and staggering gait
793,muscle fasciculation, one of the contractile organs of the body muscular twitching of contiguous groups of muscle fibers
794,worry, something or someone that causes anxiety; a source of unhappiness
795,gastric disorder, relating to or involving the stomach a physical condition in which there is a disturbance of normal functioning
796,visual accommodation disturbance of," relating to or using sight making or becoming suitable; adjusting to circumstances activity that is a malfunction, intrusion, or interruption "
797,withdrawn, pull back or move away or backward
798,emotional distress, determined or actuated by emotion rather than reason psychological suffering
799,tingling, a somatic sensation as from many tiny prickles
800,clostridium difficile sepsis, spindle-shaped bacterial cell especially one swollen at the center by an endospore  the presence of pus-forming bacteria or their toxins in the blood or tissues
801,inappropriate crying, not suitable for a particular occasion etc the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
802,mental function decreased," involving the mind or an intellectual process (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) decrease in size, extent, or range"
803,motor restlessness, machine that converts other forms of energy into mechanical energy and so imparts motion the quality of being ceaselessly moving or active
804,serum cholesterol increased," an amber, watery fluid, rich in proteins, that separates out when blood coagulates an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues become bigger or greater in amount"
805,restless, worried and uneasy
806,jitteriness, the anxious feeling you have when you have the jitters
807,feeling of despair, the experiencing of affective and emotional states  a state in which all hope is lost or absent
808,swelling abdomen, an abnormal protuberance or localized enlargement the region of the body of a vertebrate between the thorax and the pelvis
809,aggressive behavior," having or showing determination and energetic pursuit of your ends; positive in his convictions"" manner of acting or controlling yourself"
810,metabolic syndrome, of or relating to metabolism a complex of concurrent things
811,goitre, abnormally enlarged thyroid gland; can result from underproduction or overproduction of hormone or from a deficiency of iodine in the diet
812,cardiac arrhythmia, of or relating to the heart an abnormal rate of muscle contractions in the heart
813,disability, the condition of being unable to perform as a consequence of physical or mental unfitness
814,disorder muscle, a physical condition in which there is a disturbance of normal functioning one of the contractile organs of the body
815,tension nervous, (psychology) a state of mental or emotional strain or suspense easily agitated
816,lip swelling, either of two fleshy folds of tissue that surround the mouth and play a role in speaking an abnormal protuberance or localized enlargement
817,scab, someone who works (or provides workers) during a strike
818,pain in cervical spine, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot of or relating to the cervix of the uterus the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
819,numbness mouth, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction the opening through which food is taken in and vocalizations emerge
820,allergic reaction to antibiotics, characterized by or caused by allergy (chemistry) a process in which one or more substances are changed into others  a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
821,red neck, red color or pigment; the chromatic color resembling the hue of blood the part of an organism (human or animal) that connects the head to the rest of the body
822,paralysis, loss of the ability to move a body part
823,eye strain, the organ of sight (physics) deformation of a physical body under the action of applied forces
824,poor peripheral circulation, people without possessions or wealth (considered as a group) (computer science) electronic equipment connected by cable to the CPU of a computer the dissemination of copies of periodicals (as newspapers or magazines)
825,urinary tract infection, of or relating to the function or production or secretion of urine an extended area of land the pathological state resulting from the invasion of the body by pathogenic microorganisms
826,injection site pain, the forceful insertion of a substance under pressure the piece of land on which something is located (or is to be located) a symptom of some physical hurt or disorder
827,feeling lonely, the experiencing of affective and emotional states lacking companions or companionship
828,oedema face," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities the front of the human head from the forehead to the chin and ear to ear"
829,heat stroke, a form of energy that is transferred by a difference in temperature (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
830,acute gastric ulcer with perforation, a mark (') placed above a vowel to indicate pronunciation relating to or involving the stomach a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue  a line of small holes for tearing at a particular place
831,shivers, a reflex motion caused by cold or fear or excitement
832,oedema," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
833,gallbladder disease, a muscular sac attached to the liver that stores bile (secreted by the liver) until it is needed for digestion an impairment of health or a condition of abnormal functioning
834,hammer toe, the part of a gunlock that strikes the percussion cap when the trigger is pulled one of the digits of the foot
835,decreased appetite," decrease in size, extent, or range a feeling of craving something"
836,neck discomfort, the part of an organism (human or animal) that connects the head to the rest of the body the state of being tense and feeling pain
837,swelling of legs, an abnormal protuberance or localized enlargement  staying power
838,mood disorder, a characteristic (habitual or relatively temporary) state of feeling a physical condition in which there is a disturbance of normal functioning
839,tmj syndrome,  a complex of concurrent things
840,night terrors, the time after sunset and before sunrise while it is dark outside an overwhelming feeling of fear and anxiety
841,wheeze, breathing with a husky or whistling sound
842,shin splints, the front part of the human leg between the knee and the ankle a thin sliver of wood
843,bone pain, rigid connective tissue that makes up the skeleton of vertebrates a symptom of some physical hurt or disorder
844,burning eyes, the act of burning something opinion or judgment
845,dysphagia, condition in which swallowing is difficult or painful
846,impaired renal function, make worse or less effective of or relating to the kidneys (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
847,vision abnormal, a vivid mental image not normal; not typical or usual or regular or conforming to a norm
848,epistaxis, bleeding from the nose
849,sensation of block in ear, an unelaborated elementary awareness of stimulation  a solid piece of something (usually having flat rectangular sides) a unit of length equal to one twelfth of a foot the sense organ for hearing and equilibrium
850,diminished sense of smell," decrease in size, extent, or range a general conscious awareness  the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form"
851,attention deficit disorder, the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others the property of being an amount by which something is less than expected or required a physical condition in which there is a disturbance of normal functioning
852,vein disorder, a blood vessel that carries blood from the capillaries toward the heart a physical condition in which there is a disturbance of normal functioning
853,premature ejaculation, born after a gestation period of less than the normal time an abrupt emphatic exclamation expressing emotion
854,arachnitis, 
855,generalized pruritus, draw from specific cases for more general cases an intense itching sensation that can have various causes (as by allergies or infection or lymphoma or jaundice etc.)
856,back disorder, the posterior part of a human (or animal) body from the neck to the end of the spine a physical condition in which there is a disturbance of normal functioning
857,paranoia, a psychological disorder characterized by delusions of persecution or grandeur
858,bullous rash,  any red eruption of the skin
859,brain neoplasm malignant, that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord an abnormal new mass of tissue that serves no purpose dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)
860,psychotic episode, a person afflicted with psychosis a happening that is distinctive in a series of related events
861,pain gas, a symptom of some physical hurt or disorder the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
862,abnormal weight gain, not normal; not typical or usual or regular or conforming to a norm the vertical force exerted by a mass as a result of gravity a quantity that is added
863,hepatomegaly, abnormal enlargement of the liver
864,jerkiness, the quality of being spasmodic and irregular
865,contracture of tendon (sheath), an abnormal and usually permanent contraction of a muscle  a cord or band of inelastic tissue connecting a muscle with its bony attachment 
866,lung injury, either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood any physical damage to the body caused by violence or accident or fracture etc.
867,hepatic trauma, any of numerous small green nonvascular plants of the class Hepaticopsida growing in wet places and resembling green seaweeds or leafy mosses any physical damage to the body caused by violence or accident or fracture etc.
868,c-reactive protein abnormal,  any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes not normal; not typical or usual or regular or conforming to a norm
869,palpitation, a rapid and irregular heart beat
870,upset gastrointestinal, an unhappy and worried mental state of or relating to the stomach and intestines
871,seizures, a sudden occurrence (or recurrence) of a disease
872,right ventricular enlargement," an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" of or relating to a ventricle (of the heart or brain) the act of increasing (something) in size or volume or quantity or scope"
873,add, a condition (mostly in boys) characterized by behavioral and learning disorders
874,supraspinatus tendonitis,  inflammation of a tendon
875,feeling bad, the experiencing of affective and emotional states that which is below standard or expectations as of ethics or decency
876,kidney enlargement, either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine the act of increasing (something) in size or volume or quantity or scope
877,dry nose, a reformer who opposes the use of intoxicating beverages the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
878,albumin increased, a simple water-soluble protein found in many animal tissues and liquids become bigger or greater in amount
879,otalgia, an ache localized in the middle or inner ear
880,teeth clenching, the kind and number and arrangement of teeth (collectively) in a person or animal hold in a tight grasp
881,defaecation frequency increased,  the number of occurrences within a given time period become bigger or greater in amount
882,malignant neoplasm nos, dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor) an abnormal new mass of tissue that serves no purpose a negative
883,hyperaesthesia, 
884,dysfunctional uterine bleeding, impaired in function; especially of a bodily system or organ of or involving the uterus the flow of blood from a ruptured blood vessel
885,indigestion acid, a disorder of digestive function characterized by discomfort or heartburn or nausea any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
886,arachnoiditis, 
