,ade,definition
1888,holes in my head, an opening into or through something a unit of length equal to one twelfth of a foot  the upper part of the human body or the front part of the body in animals; contains the face and brains
1889,pain in hips, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot either side of the body below the waist and above the thigh
1890,trouble concentrating," a source of difficulty make denser, stronger, or purer"
1891,unable to stand, (usually followed by `to') not having the necessary means or skill or know-how  a support or foundation
1892,irrational feelings of impending doom, a real number that cannot be expressed as a rational number emotional or moral sensitivity (especially in relation to personal principles or dignity)  be imminent or about to happen an unpleasant or disastrous destiny
1893,tired more than ususal," lose interest or become bored with something or somebody English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state  "
1894,anaphylactic shock, related to the hypersensitivity known as anaphylaxis the feeling of distress and disbelief that you have when something bad happens accidentally
1895,terrible leg cramps, causing fear or dread or terror a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a painful and involuntary muscular contraction
1896,pain in hip, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot either side of the body below the waist and above the thigh
1897,stabbing pain between shoulder blades, use a knife on a symptom of some physical hurt or disorder in the interval the part of the body between the neck and the upper arm especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
1898,flu-like symtoms,  
1899,tennis elbow, a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
1900,legs are very weak, staying power a unit of surface area equal to 100 square meters precisely as stated wanting in physical strength
1901,muscle tiring, one of the contractile organs of the body lose interest or become bored with something or somebody
1902,pressure pain, the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) a symptom of some physical hurt or disorder
1903,deliriousness, 
1904,breathing problems, the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation a state of difficulty that needs to be resolved
1905,sobbing, convulsive gasp made while weeping
1906,tiredness in leg, temporary loss of strength and energy resulting from hard physical or mental work a unit of length equal to one twelfth of a foot a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
1907,swollen feet & ankles," increase in size, magnitude, number, or intensity the part of the leg of a human being below the ankle joint  a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus"
1908,general stomach upset feeling, a general officer of the highest rank an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion an unhappy and worried mental state the experiencing of affective and emotional states
1909,potato drug bcuz that's what i looked like, an edible tuber native to South America; a staple food of Ireland a substance that is used as a medicine or narcotic    a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) perceive with attention; direct one's gaze towards a similar kind
1910,effected my equilibrium, produce  a stable situation in which forces cancel one another
1911,terrible pain in my ankles, causing fear or dread or terror a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
1912,won't heal,  heal or recover
1913,can hardly sleep, airtight sealed metal container for food or drink or paint etc. only a very short time before a natural and periodic state of rest during which consciousness of the world is suspended
1914,decreased sense of taste," decrease in size, extent, or range a general conscious awareness  the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus"
1915,vision impaired, a vivid mental image make worse or less effective
1916,liver enzymes elevated, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions a railway that is powered by electricity and that runs on a track that is raised above the street level
1917,gi difficulties, a unit of magnetomotive force equal to 0.7958 ampere-turns an effort that is inconvenient
1918,lucid dreaming, (of language) transparently clear; easily understandable imaginative thoughts indulged in while awake
1919,severe abdonimal pain, intensely or extremely bad or unpleasant in degree or quality  a symptom of some physical hurt or disorder
1920,chest ache, the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates a dull persistent (usually moderately intense) pain
1921,don't feel fully human,"  an intuitive awareness;  to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form) any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage"
1922,plateau, a relatively flat highland
1923,eyeballs make a sound, the ball-shaped capsule containing the vertebrate eye a recognizable kind a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation the particular auditory effect produced by a given cause
1924,feet are always going, the part of the leg of a human being below the ankle joint a unit of surface area equal to 100 square meters at all times; all the time and on every occasion the act of departing
1925,going off of olanzapine is no picnic," the act of departing kill intentionally and with premeditation   have the quality of being; (copula, used with an adjective or a predicate noun) a negative a day devoted to an outdoor social gathering"
1926,neck stiff, the part of an organism (human or animal) that connects the head to the rest of the body an ordinary man
1927,leg soreness, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a pain that is felt (as when the area is touched)
1928,hemorrhoids, pain caused by venous swelling at or inside the anal sphincter
1929,tighening of the chest,    the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
1930,heavy legs and arms, an actor who plays villainous roles staying power  weapons considered collectively
1931,severe abdominal cramping, intensely or extremely bad or unpleasant in degree or quality the muscles of the abdomen secure with a cramp
1932,intestinal pain, of or relating to or inside the intestines a symptom of some physical hurt or disorder
1933,leaky heart valves, permitting the unwanted passage of fluids or gases the locus of feelings and intuitions a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it
1934,feel like shit, an intuitive awareness;  a similar kind obscene terms for feces
1935,calf leg cramps, young of domestic cattle a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a painful and involuntary muscular contraction
1936,large dark bruise on hand, a garment size for a large person absence of light or illumination an injury that doesn't break the skin but results in some discoloration in operation or operational the (prehensile) extremity of the superior limb
1937,transient amnesia, one who stays for only a short time partial or total loss of memory
1938,sweated, excrete perspiration through the pores in the skin
1939,left shoulder is almost immobile," location near or direction toward the left side; i.e. the side to the north when a person or object faces east the part of the body between the neck and the upper arm have the quality of being; (copula, used with an adjective or a predicate noun) (of actions or states) slightly short of or not quite accomplished; all but not capable of movement or of being moved"
1940,dehydrated, preserve by removing all water and liquids from
1941,feel like throwing up, an intuitive awareness;  a similar kind propel through the air raise
1942,productive cough, producing or capable of producing (especially abundantly) a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
1943,bled heavily, lose blood from one's body to a considerable degree
1944,tummy, slang for a paunch
1945,decreased testosterone," decrease in size, extent, or range a potent androgenic hormone produced chiefly by the testes; responsible for the development of male secondary sex characteristics"
1946,light headedness(problem keeping balance), (physics) electromagnetic radiation that can produce a visual sensation  conformity or harmony 
1947,feet and leg cramps, the part of the leg of a human being below the ankle joint  a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a painful and involuntary muscular contraction
1948,vision reduced, a vivid mental image cut down on; make a reduction in
1949,in arms tingling, a unit of length equal to one twelfth of a foot weapons considered collectively a somatic sensation as from many tiny prickles
1950,diffuculty thinking,  the process of using your mind to consider something carefully
1951,tingling face, a somatic sensation as from many tiny prickles the front of the human head from the forehead to the chin and ear to ear
1952,couldn't exercise or eat,  the activity of exerting your muscles in various ways to keep fit a state in northwestern United States on the Pacific take in solid food
1953,feel disgusting, an intuitive awareness;  fill with distaste
1954,tingling in the scalp, a somatic sensation as from many tiny prickles a unit of length equal to one twelfth of a foot  the skin that covers the top of the head
1955,legs are killing me, staying power a unit of surface area equal to 100 square meters an event that causes someone to die a state in New England
1956,backache, an ache localized in the back
1957,pain in both calves and thighs, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (used with count nouns) two considered together; the two young of domestic cattle  the part of the leg between the hip and the knee
1958,muscle aches in arms, one of the contractile organs of the body a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot weapons considered collectively
1959,can't go back to sleep,  a time for working (after which you will be relieved by someone else) the posterior part of a human (or animal) body from the neck to the end of the spine  a natural and periodic state of rest during which consciousness of the world is suspended
1960,ab pain, a bachelor's degree in arts and sciences a symptom of some physical hurt or disorder
1961,fingers and toes were tingling," any of the terminal members of the hand (sometimes excepting the thumb)  one of the digits of the foot have the quality of being; (copula, used with an adjective or a predicate noun) a somatic sensation as from many tiny prickles"
1962,liver enzymes were very elevated," large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions have the quality of being; (copula, used with an adjective or a predicate noun) precisely as stated a railway that is powered by electricity and that runs on a track that is raised above the street level"
1963,extremly bad pains in hands,  that which is below standard or expectations as of ethics or decency an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
1964,twitch, a sudden muscle spasm; especially one caused by a nervous condition
1965,inflamatory muscle pain,  one of the contractile organs of the body a symptom of some physical hurt or disorder
1966,peripheral neuropathy in feet and legs, (computer science) electronic equipment connected by cable to the CPU of a computer any pathology of the peripheral nerves a unit of length equal to one twelfth of a foot the part of the leg of a human being below the ankle joint  staying power
1967,complete body flushes (like a hot flash without the hot)," come or bring to a finish or an end; others finished in over 4 hours"" the entire structure of an organism (an animal, plant, or human being) the period of greatest prosperity or productivity  a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning a sudden intense burst of radiant energy   "
1968,legs are sore, staying power a unit of surface area equal to 100 square meters an open skin infection
1969,terrible short term memory problems, causing fear or dread or terror the location on a baseball field where the shortstop is stationed a word or expression used for some particular thing something that is remembered a state of difficulty that needs to be resolved
1970,blurring vision, become glassy; lose clear vision a vivid mental image
1971,wicked back pain, morally bad in principle or practice the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
1972,stop spending all of your income in food, the event of something ending the act of spending or disbursing money quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class   the financial gain (earned or unearned) accruing over a given period of time a unit of length equal to one twelfth of a foot any substance that can be metabolized by an animal to give energy and build tissue
1973,yellow color to my skin, yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons a visual attribute of things that results from the light they emit or transmit or reflect   a natural protective body covering and site of the sense of touch
1974,"pain in both quads (above knee, back of leg)", a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (used with count nouns) two considered together; the two one of four children born at the same time from the same pregnancy   the posterior part of a human (or animal) body from the neck to the end of the spine  
1975,skipping heart beats," bypass the locus of feelings and intuitions a United States youth subculture of the 1950s; rejected possessions or regular work or traditional dress; for communal living and psychedelic drugs and anarchism; favored modern forms of jazz (e.g., bebop)"
1976,muscle wasting in the arms, one of the contractile organs of the body any general reduction in vitality and strength of body and mind resulting from a debilitating chronic disease a unit of length equal to one twelfth of a foot  weapons considered collectively
1977,burning sensations in calves, the act of burning something an unelaborated elementary awareness of stimulation a unit of length equal to one twelfth of a foot young of domestic cattle
1978,losing muscle," fail to keep or to maintain; cease to have, either physically or in an abstract sense one of the contractile organs of the body"
1979,tired all the time, lose interest or become bored with something or somebody quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  an instance or single occasion for some event
1980,carpal tunnal, any of the eight small bones of the wrist of primates 
1981,lack of appetite, the state of needing something that is absent or unavailable  a feeling of craving something
1982,pain pain pain, a symptom of some physical hurt or disorder a symptom of some physical hurt or disorder a symptom of some physical hurt or disorder
1983,darkness in urine, absence of light or illumination a unit of length equal to one twelfth of a foot liquid excretory product
1984,pain in my left hip, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  location near or direction toward the left side; i.e. the side to the north when a person or object faces east either side of the body below the waist and above the thigh
1985,withdraw, pull back or move away or backward
1986,felt like chemo, a fabric made of compressed matted animal fibers a similar kind 
1987,stomach ulcers, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
1988,not eat, negation of a word or group of words take in solid food
1989,partial loss of sight, the derivative of a function of two or more variables with respect to a single variable while the other variables are considered to be constant something that is lost  an instance of visual perception
1990,trouble holding on to things, a source of difficulty the act of retaining something in operation or operational  any movable possession (especially articles of clothing)
1991,foot/ankle pain,  a symptom of some physical hurt or disorder
1992,menstrual cramps without vaginal bleeding, of or relating to menstruation or the menses a painful and involuntary muscular contraction  of or relating to the vagina the flow of blood from a ruptured blood vessel
1993,strength decrease dramatically, the property of being physically or mentally strong a change downward in a very impressive manner
1994,lack of ability to concentrate, the state of needing something that is absent or unavailable  the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment  the desired mineral that is left after impurities have been removed from mined ore
1995,feel wasted, an intuitive awareness;  spend thoughtlessly; throw away
1996,comfortably couldn't sleep, in mental comfort; without stress  a natural and periodic state of rest during which consciousness of the world is suspended
1997,puking, the reflex act of ejecting the contents of the stomach through the mouth
1998,knocked me sidewards," deliver a sharp blow or push :""He knocked the glass clear across the room"" a state in New England toward one side"
1999,torn ham string, separate or cause to separate abruptly meat cut from the thigh of a hog (usually smoked) a lightweight cord
2000,numbness in all of my finger tips, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class   any of the terminal members of the hand (sometimes excepting the thumb) the extreme end of something; especially something pointed
2001,tearfulness, sadness expressed by weeping
2002,strokes, (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
2003,aphasia, inability to use or understand language (spoken or written) because of a brain lesion
2004,ability to cum, the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment  the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
2005,muscles ached, one of the contractile organs of the body feel physical pain
2006,pain in side muscles on one side of chest, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot a place within a region identified relative to a center or reference location one of the contractile organs of the body in operation or operational the smallest whole number or a numeral representing this number a place within a region identified relative to a center or reference location  the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
2007,mmdepression, 
2008,stiffness at left knee, the physical property of being inflexible and hard to bend a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium location near or direction toward the left side; i.e. the side to the north when a person or object faces east hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
2009,high cpk, a lofty level or position or degree 
2010,persistent feeling of tiredness, never-ceasing the experiencing of affective and emotional states  temporary loss of strength and energy resulting from hard physical or mental work
2011,tire very quickly muscles, hoop that covers a wheel precisely as stated with rapid movements one of the contractile organs of the body
2012,intense muscle pain with intense burning in my legs, possessing or displaying a distinctive feature to a heightened degree one of the contractile organs of the body a symptom of some physical hurt or disorder  possessing or displaying a distinctive feature to a heightened degree the act of burning something a unit of length equal to one twelfth of a foot  staying power
2013,heavy menstral cycles, an actor who plays villainous roles  an interval during which a recurring sequence of events occurs
2014,constant pins and needles in the toes, a quantity that does not vary a piece of jewelry that is pinned onto the wearer's garment  the leaf of a conifer a unit of length equal to one twelfth of a foot  one of the digits of the foot
2015,acne, an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
2016,agitation, a mental state of extreme emotional disturbance
2017,heart arrhythmia, the locus of feelings and intuitions an abnormal rate of muscle contractions in the heart
2018,memory, something that is remembered
2019,blood in urine," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets a unit of length equal to one twelfth of a foot liquid excretory product"
2020,"lost most of my feeling in feet, legs and hands", people who are destined to die soon (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number   the experiencing of affective and emotional states a unit of length equal to one twelfth of a foot  staying power  (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
2021,pee so often, liquid excretory product the syllable naming the fifth (dominant) note of any musical scale in solmization many times at short intervals
2022,gastric bleed, relating to or involving the stomach lose blood from one's body
2023,can't even enjoy this banana,  the latter part of the day (the period of decreasing daylight from late afternoon until nightfall) derive or receive pleasure from; get enjoyment from; take pleasure in  any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
2024,fluey feelings,  emotional or moral sensitivity (especially in relation to personal principles or dignity)
2025,muscle tightness, one of the contractile organs of the body a state occasioned by scarcity of money and a shortage of credit
2026,hair has started falling out, a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day take the first step or steps in carrying out an action descend in free fall under the influence of gravity (baseball) a failure by a batter or runner to reach a base safely in baseball
2027,sore cheek muscles, an open skin infection either side of the face below the eyes one of the contractile organs of the body
2028,withdrawal , a retraction of a previously held position
2029,psychotic reactions, a person afflicted with psychosis (chemistry) a process in which one or more substances are changed into others
2030,messing with my sleep, eat in a mess hall   a natural and periodic state of rest during which consciousness of the world is suspended
2031,muscle pain in shoulders, one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of the body between the neck and the upper arm
2032,pains in my hip, an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot  either side of the body below the waist and above the thigh
2033,hallucinate, perceive what is not there; have illusions
2034,debilitating, make weak
2035,pulse was high, (electronics) a sharp transient wave in the normal electrical state (or a series of such transients) a state in northwestern United States on the Pacific a lofty level or position or degree
2036,intense heart pain, possessing or displaying a distinctive feature to a heightened degree the locus of feelings and intuitions a symptom of some physical hurt or disorder
2037,super dry skin, a caretaker for an apartment house; represents the owner as janitor and rent collector a reformer who opposes the use of intoxicating beverages a natural protective body covering and site of the sense of touch
2038,low grade temp, an air mass of lower pressure; often brings precipitation a body of students who are taught together a worker (especially in an office) hired on a temporary basis
2039,rheumatoid arthtitis, of or pertaining to arthritis 
2040,mussle spasm,  a painful and involuntary muscular contraction
2041,high liver enzyme counts, a lofty level or position or degree large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions the total number counted
2042,severe pain in left calf, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east young of domestic cattle
2043,cold, a mild viral infection involving the nose and respiratory passages (but not the lungs)
2044,movement is restricted," a change of position that does not entail a change of location have the quality of being; (copula, used with an adjective or a predicate noun) place restrictions on"
2045,pain in muscles, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot one of the contractile organs of the body
2046,lack of strength, the state of needing something that is absent or unavailable  the property of being physically or mentally strong
2047,diarrhoea, frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor
2048,muscel fatigue,  temporary loss of strength and energy resulting from hard physical or mental work
2049,groggy in the morning, stunned or confused and slow to react (as from blows or drunkenness or exhaustion) a unit of length equal to one twelfth of a foot  the time period between dawn and noon
2050,legs began feeling very tired, staying power take the first step or steps in carrying out an action the experiencing of affective and emotional states precisely as stated lose interest or become bored with something or somebody
2051,right knee always sore," an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella at all times; all the time and on every occasion an open skin infection"
2052,voracious hunger, excessively greedy and grasping a physiological need for food; the consequence of food deprivation
2053,increase in level of fatigue, a quantity that is added a unit of length equal to one twelfth of a foot a position on a scale of intensity or amount or quality  temporary loss of strength and energy resulting from hard physical or mental work
2054,low mood, an air mass of lower pressure; often brings precipitation a characteristic (habitual or relatively temporary) state of feeling
2055,cotton mouth, soft silky fibers from cotton plants in their raw state the opening through which food is taken in and vocalizations emerge
2056,sleepiness, a very sleepy state
2057,numbness in toes, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot one of the digits of the foot
2058,yucky, highly offensive; arousing aversion or disgust
2059,muscels hurts,  any physical damage to the body caused by violence or accident or fracture etc.
2060,water weight, binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent the vertical force exerted by a mass as a result of gravity
2061,painful to walk, causing physical or psychological pain  the act of traveling by foot
2062,comedown is hell," decline to a lower status or level have the quality of being; (copula, used with an adjective or a predicate noun) any place of pain and turmoil; "
2063,respiratory probs, pertaining to respiration 
2064,muscle cramps in face, one of the contractile organs of the body a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot the front of the human head from the forehead to the chin and ear to ear
2065,neck swollen," the part of an organism (human or animal) that connects the head to the rest of the body increase in size, magnitude, number, or intensity"
2066,coma, a state of deep and often prolonged unconsciousness; usually the result of disease or injury
2067,suicidal thoughts, dangerous to yourself or your interests the content of cognition; the main thing you are thinking about
2068,swelling of right knee," an abnormal protuberance or localized enlargement  an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella"
2069,pulse is still extremely high," (electronics) a sharp transient wave in the normal electrical state (or a series of such transients) have the quality of being; (copula, used with an adjective or a predicate noun) a static photograph (especially one taken from a movie and used for advertising purposes) to a high degree or extent; favorably or with much respect a lofty level or position or degree"
2070,negative, a reply of denial
2071,random crying, lacking any definite plan or order or purpose; governed by or depending on chance the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
2072,excessive drowsiness, beyond normal limits a very sleepy state
2073,difficulty urinating, an effort that is inconvenient pass after the manner of urine
2074,steven johnson syndrome,  English writer and lexicographer (1709-1784) a complex of concurrent things
2075,cramping events in my legs, secure with a cramp something that happens at a given place and time a unit of length equal to one twelfth of a foot  staying power
2076,problems with my balance, a state of difficulty that needs to be resolved   a state of equilibrium
2077,flat, a level tract of land
2078,ate, goddess of criminal rashness and its punishment
2079,numness aching feeling to my left arm,  a dull persistent (usually moderately intense) pain the experiencing of affective and emotional states   location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
2080,memory failure, something that is remembered an act that fails
2081,malaisse, 
2082,numbness in left foot, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east the part of the leg of a human being below the ankle joint
2083,toothache, an ache localized in or around a tooth
2084,loss of apetite, something that is lost  
2085,numbness in ankles and toes, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus  one of the digits of the foot
2086,red bumps on my skin, red color or pigment; the chromatic color resembling the hue of blood a lump on the body caused by a blow in operation or operational  a natural protective body covering and site of the sense of touch
2087,altered taste, cause to change; make different; cause a transformation the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
2088,tendonits, 
2089,passing blood and clots with stoals," (American football) a play that involves one player throwing the ball to a teammate the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets  a lump of material formed from the content of a liquid  "
2090,severe pain in my left arm, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
2091,exhausted all the time, wear out completely quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  an instance or single occasion for some event
2092,hand being asleep, the (prehensile) extremity of the superior limb the state or fact of existing in a state of sleep
2093,extreme pain in neck, the furthest or highest degree of something a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of an organism (human or animal) that connects the head to the rest of the body
2094,appetite, a feeling of craving something
2095,sex drive, activities associated with sexual intercourse the act of applying force to propel something
2096,loss of muscle, something that is lost  one of the contractile organs of the body
2097,"when i went to sit down instead of sitng normaly i would almost fall down in the chair no control no strength, upon getting up i had to hold on to something to get up","  a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) change location; move, travel, or proceed, also metaphorically  be seated soft fine feathers in place of, or as an alternative to    a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)  (of actions or states) slightly short of or not quite accomplished; all but the season when the leaves fall from the trees soft fine feathers a unit of length equal to one twelfth of a foot  a seat for one person, with a support for the back a negative power to direct or determine a negative   the act of acquiring something raise a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) have or possess, either in a concrete or an abstract sense  the act of grasping in operation or operational    a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent raise"
2098,tingling in arm and hand, a somatic sensation as from many tiny prickles a unit of length equal to one twelfth of a foot a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb  the (prehensile) extremity of the superior limb
2099,itch, a contagious skin infection caused by the itch mite; characterized by persistent itching and skin irritation
2100,pain in legs, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot staying power
2101,sore and stiff knees, an open skin infection  an ordinary man hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
2102,fluish feeling,  the experiencing of affective and emotional states
2103,boner kryptonite, an embarrassing mistake 
2104,inability to walk, lack of ability (especially mental ability) to do something  the act of traveling by foot
2105,irritable colon, easily irritated or annoyed the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted
2106,foggy thinking, stunned or confused and slow to react (as from blows or drunkenness or exhaustion) the process of using your mind to consider something carefully
2107,pains in my left knee, an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot  location near or direction toward the left side; i.e. the side to the north when a person or object faces east hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
2108,constant gas, a quantity that does not vary the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
2109,pain in my legs, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  staying power
2110,dreadful nights sleep, causing fear or dread or terror the time after sunset and before sunrise while it is dark outside a natural and periodic state of rest during which consciousness of the world is suspended
2111,liver disease, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes an impairment of health or a condition of abnormal functioning
2112,face and scalp tingling, the front of the human head from the forehead to the chin and ear to ear  the skin that covers the top of the head a somatic sensation as from many tiny prickles
2113,twitching around my mouth, a sudden muscle spasm; especially one caused by a nervous condition in the area or vicinity  the opening through which food is taken in and vocalizations emerge
2114,going into shock, the act of departing  the feeling of distress and disbelief that you have when something bad happens accidentally
2115,loss of muscle in left leg, something that is lost  one of the contractile organs of the body a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
2116,lost my sense of taste, people who are destined to die soon  a general conscious awareness  the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
2117,dislocating, move out of position
